LSOA code,LSOA name,IMD,IMD_R,Income,Income_R,Employment,Employment_R,Education,Education_R,Health,Health_R,Crime,Crime_R,Housing,Housing_R,Living,Living_R
E01002850,Kensington and Chelsea 013D,23.7040 ,4,0.1110 ,5,0.0890 ,5,1.8690 ,10,-0.6760 ,8,0.4250 ,4,44.8680 ,1,48.8470 ,1
E01002851,Kensington and Chelsea 015D,39.7730 ,2,0.2600 ,2,0.1730 ,2,3.4840 ,9,0.3650 ,4,0.7700 ,2,48.3950 ,1,40.6020 ,2
E01002852,Kensington and Chelsea 001A,41.7480 ,2,0.2970 ,1,0.1750 ,2,16.1660 ,6,0.4580 ,3,0.8080 ,2,41.6970 ,1,36.0440 ,2
E01002853,Kensington and Chelsea 001B,57.0970 ,1,0.3790 ,1,0.2560 ,1,28.8290 ,3,0.4370 ,4,1.6570 ,1,38.4730 ,1,35.0220 ,2
E01002854,Kensington and Chelsea 001C,45.1470 ,1,0.3250 ,1,0.2210 ,1,13.8440 ,6,0.0350 ,5,1.1760 ,1,37.3050 ,1,33.7080 ,3
E01002855,Kensington and Chelsea 001D,45.4790 ,1,0.3170 ,1,0.2240 ,1,9.9410 ,7,0.3610 ,4,0.9780 ,2,41.6700 ,1,32.3440 ,3
E01002856,Kensington and Chelsea 004E,37.8420 ,2,0.2090 ,2,0.1700 ,2,7.5890 ,8,-0.2490 ,7,1.2390 ,1,42.6220 ,1,51.6180 ,1
E01002857,Kensington and Chelsea 001E,59.0090 ,1,0.3890 ,1,0.3170 ,1,17.4390 ,5,0.5060 ,3,1.2720 ,1,42.9550 ,1,30.1240 ,3
E01002858,Kensington and Chelsea 014C,23.4060 ,4,0.1290 ,4,0.0800 ,5,9.0670 ,7,-0.5450 ,8,-0.6390 ,8,48.7260 ,1,43.7570 ,1
E01002859,Kensington and Chelsea 012C,10.1800 ,8,0.0240 ,10,0.0110 ,10,0.9870 ,10,-3.2150 ,10,-0.2990 ,7,33.5150 ,2,45.6020 ,1
